SubNo TrialNo WhiteProp Resp Ac
10 1 0.42 0 1
10 2 0.48 0 1
10 3 0.52 0 0
10 4 0.58 1 1
10 5 0.54 1 1
10 6 0.58 1 1
10 7 0.42 0 1
10 8 0.40 0 1
10 9 0.60 1 1
10 10 0.40 0 1
10 11 0.50 0 0
10 12 0.50 0 0
10 13 0.40 0 1
10 14 0.48 0 1
10 15 0.52 0 0
10 16 0.50 0 0
10 17 0.52 1 1
10 18 0.52 0 0
10 19 0.50 0 0
10 20 0.50 0 0
10 21 0.42 0 1
10 22 0.52 1 1
10 23 0.48 0 1
10 24 0.50 0 0
10 25 0.52 1 1
10 26 0.46 0 1
10 27 0.48 0 1
10 28 0.54 0 0
10 29 0.54 1 1
10 30 0.46 0 1
10 31 0.60 1 1
10 32 0.46 0 1
10 33 0.40 0 1
10 34 0.46 0 1
10 35 0.50 0 0
10 36 0.50 0 0
10 37 0.50 0 0
10 38 0.60 1 1
10 39 0.60 1 1
10 40 0.50 0 0
10 41 0.58 1 1
10 42 0.48 0 1
10 43 0.42 0 1
10 44 0.46 0 1
10 45 0.54 1 1
10 46 0.48 0 1
10 47 0.42 0 1
10 48 0.60 1 1
10 49 0.58 1 1
10 50 0.46 0 1
10 51 0.46 0 1
10 52 0.54 1 1
10 53 0.46 0 1
10 54 0.48 0 1
10 55 0.58 1 1
10 56 0.50 0 0
10 57 0.40 0 1
10 58 0.46 0 1
10 59 0.52 1 1
10 60 0.42 0 1
10 61 0.42 0 1
10 62 0.52 1 1
10 63 0.54 1 1
10 64 0.40 0 1
10 65 0.58 1 1
10 66 0.52 1 1
10 67 0.52 1 1
10 68 0.40 0 1
10 69 0.50 0 0
10 70 0.50 0 0
10 71 0.42 0 1
10 72 0.46 0 1
10 73 0.48 0 1
10 74 0.48 0 1
10 75 0.58 1 1
10 76 0.54 1 1
10 77 0.42 0 1
10 78 0.48 0 1
10 79 0.42 0 1
10 80 0.52 1 1
10 81 0.40 0 1
10 82 0.60 1 1
10 83 0.42 0 1
10 84 0.50 0 0
10 85 0.48 0 1
10 86 0.40 0 1
10 87 0.50 1 1
10 88 0.50 1 1
10 89 0.48 0 1
10 90 0.54 1 1
10 91 0.40 0 1
10 92 0.46 0 1
10 93 0.52 0 0
10 94 0.58 1 1
10 95 0.50 0 0
10 96 0.46 0 1
10 97 0.48 0 1
10 98 0.54 1 1
10 99 0.50 0 0
10 100 0.58 1 1
10 101 0.54 1 1
10 102 0.42 0 1
10 103 0.46 0 1
10 104 0.46 0 1
10 105 0.40 0 1
10 106 0.60 1 1
10 107 0.50 1 1
10 108 0.60 1 1
10 109 0.58 1 1
10 110 0.54 1 1
10 111 0.42 0 1
10 112 0.52 0 0
10 113 0.50 0 0
10 114 0.42 0 1
10 115 0.40 0 1
10 116 0.50 0 0
10 117 0.46 0 1
10 118 0.46 0 1
10 119 0.58 1 1
10 120 0.42 0 1
10 121 0.48 0 1
10 122 0.54 1 1
10 123 0.58 1 1
10 124 0.40 0 1
10 125 0.58 1 1
10 126 0.40 0 1
10 127 0.46 0 1
10 128 0.42 0 1
10 129 0.52 1 1
10 130 0.50 1 1
10 131 0.60 1 1
10 132 0.46 0 1
10 133 0.40 0 1
10 134 0.46 0 1
10 135 0.42 0 1
10 136 0.40 0 1
10 137 0.58 1 1
10 138 0.60 1 1
10 139 0.58 1 1
10 140 0.48 0 1
10 141 0.52 0 0
10 142 0.48 0 1
10 143 0.48 0 1
10 144 0.46 0 1
10 145 0.42 0 1
10 146 0.60 1 1
10 147 0.54 1 1
10 148 0.54 1 1
10 149 0.46 0 1
10 150 0.42 0 1
10 151 0.58 1 1
10 152 0.54 1 1
10 153 0.40 0 1
10 154 0.52 0 0
10 155 0.48 0 1
10 156 0.48 0 1
10 157 0.60 1 1
10 158 0.46 0 1
10 159 0.52 0 0
10 160 0.42 0 1
10 161 0.42 0 1
10 162 0.60 1 1
10 163 0.46 0 1
10 164 0.58 1 1
10 165 0.52 0 0
10 166 0.42 0 1
10 167 0.46 0 1
10 168 0.40 0 1
10 169 0.48 0 1
10 170 0.60 1 1
10 171 0.52 1 1
10 172 0.60 1 1
10 173 0.48 0 1
10 174 0.58 1 1
10 175 0.50 0 0
10 176 0.60 1 1
10 177 0.52 1 1
10 178 0.54 1 1
10 179 0.54 1 1
10 180 0.60 1 1
10 181 0.58 1 1
10 182 0.54 0 0
10 183 0.52 0 0
10 184 0.60 1 1
10 185 0.52 1 1
10 186 0.60 1 1
10 187 0.54 1 1
10 188 0.60 1 1
10 189 0.40 0 1
10 190 0.42 0 1
10 191 0.54 0 0
10 192 0.42 0 1
10 193 0.40 0 1
10 194 0.54 1 1
10 195 0.58 1 1
10 196 0.52 0 0
10 197 0.52 0 0
10 198 0.58 1 1
10 199 0.54 0 0
10 200 0.40 0 1
10 201 0.58 1 1
10 202 0.48 0 1
10 203 0.58 1 1
10 204 0.40 0 1
10 205 0.60 1 1
10 206 0.54 1 1
10 207 0.48 0 1
10 208 0.42 0 1
10 209 0.60 1 1
10 210 0.60 1 1
10 211 0.48 0 1
10 212 0.48 0 1
10 213 0.58 1 1
10 214 0.60 1 1
10 215 0.40 0 1
10 216 0.60 1 1
10 217 0.50 0 0
10 218 0.58 1 1
10 219 0.54 0 0
10 220 0.40 0 1
10 221 0.52 0 0
10 222 0.50 0 0
10 223 0.46 0 1
10 224 0.40 0 1
10 225 0.54 0 0
